,firm,date_review,job_title,current,location,overall_rating,work_life_balance,culture_values,diversity_inclusion,career_opp,comp_benefits,senior_mgmt,recommend,ceo_approv,outlook,headline,pros,cons
510709,McDonald-s,2015-09-09, Barista,"Current Employee, more than 1 year","Saint Marys, New South Wales, New South Wales",5,5.0,5.0,,5.0,4.0,5.0,v,v,v,barista,"great co-workers, great managers and great customers",sometimes not enough shifts for me
510755,McDonald-s,2015-09-11, Second Assistant,"Current Employee, more than 3 years","Portland, Victoria, Victoria",3,5.0,5.0,,4.0,4.0,5.0,v,v,v,2nd Assistant,"flexible, easy going workplace
working in a team day by day is a lot of fun to achieve goals
i have made a heap of friends at maccas which I'm thankful for
regulars can really make your day, they make you feel appreciated, especially in our store","having to deal with some hard to please customers that don't appreciate you because 'you work at maccas'.
some days it can be so fast paced and busy it gets stressful but at least it makes the shift go fast.."
510850,McDonald-s,2015-09-16, Crew Trainer,"Current Employee, more than 5 years","Braddon, Australian Capital Territory",4,4.0,4.0,,4.0,4.0,4.0,v,r,v,It's not as bad as you think!,"For the most part it's a pretty good environment to work in, they're really good with training, and you're guaranteed to make friends","Can get stressful when it's really busy, and when you have to deal with awful customers"
510889,McDonald-s,2015-09-19, Crew Member,Current Employee,"Horsham, Victoria, Victoria",4,5.0,5.0,,5.0,5.0,5.0,v,r,v,The McDonald's Culture,I really enjoy working at McDonald's for a number of reasons. I love the way McDonald's takes care of its staff with flexible hours and time off policies. I love the people I work with and the valuable skills in customer service that this job has taught me.,"Like most jobs, it isn't perfect. Cleaning up after people who don't dispose of their rubbish isn't my idea of fun. One of the worst parts about the job can sometimes be the customers; mistakes happen and are usually pretty easy to fix but grouchy customers don't help matters. The good thing is that for every rude customer, you get 10 nice/funny ones that can make your day!"
510921,McDonald-s,2015-09-21, Full Time Crew,"Current Employee, more than 1 year","North Hobart, Tasmania",4,4.0,5.0,,5.0,5.0,5.0,v,v,v,5 days a week,"Pros being, you make a ton of friends, getting is a rush is exhilarating. You find yourself being able to work in a team better and also gives you more opportunities later in life to aim higher.",You have to work flat out constantly. Quiet days are good but drag on and busy days are tiring.
510936,McDonald-s,2015-09-22, Crew Member,"Former Employee, more than 5 years",Victoria Point,4,4.0,3.0,,4.0,3.0,2.0,v,v,r,Experience while working at McDonalds,"Build Service and People skills, great staff to work with as a team together from all ages, plenty of opportunities to develop (certs, training, management etc)","Some managers couldn't handle stress well and put it on crew, strict times to meet that werent always possible, the service became less of a priority than the time limits"
510956,McDonald-s,2015-09-23, Crew Member,"Current Employee, more than 1 year","Frankston South, Victoria",4,3.0,4.0,,3.0,5.0,4.0,v,r,r,Satisfied Employee,The opportunities McDonald's create are awesome and abundant. It is always good to have worked at McDonald's on your resume. People who I worked with where awesome!,Working in the back you smell like the fatty oils and grease. Working at the front customers can be not very polite.
510983,McDonald-s,2015-09-25, Crew Member,"Current Employee, more than 3 years","Victoria, BC",3,3.0,2.0,,3.0,2.0,2.0,x,r,r,Crew Member,"I like working at McDonald's because they have flexible hours, the people are friendly, the 50% discount and you can almost always get time off when you need it.","I don't like working at McDonald's because it seems you have to be close with/friends with your manager to get a promotion, you can stay a crew person for a long time, we have to deal with many things that are way above our pay grade as crew members and managers/team leaders pass down jobs they wouldn't do to us, and"
511155,McDonald-s,2015-10-01, McDonalds Store Manager,Current Employee,"Perth, Western Australia, Western Australia",3,2.0,3.0,,4.0,4.0,3.0,v,v,v,Business Manager,"There are alot of great opportunities in McDonalds. You get to travel, a good education alongside working and you get to work in a range of a lot of really close nit teams. You learn a lot of useful skills that can be translated into many different areas of life. The incentive packages are competitive in the industry.",It takes up a lot of your time. You need to be available at all times and be prepared to give up a lot to be able to do the job. There is not much work life balance.
511160,McDonald-s,2015-10-01, Shift Supervisor,"Current Employee, more than 8 years","Armadale, Western Australia, Western Australia",5,3.0,5.0,,5.0,5.0,5.0,v,o,v,Shift supervisor,the family! Comraderie within the business I have made friends for life,"working late nights, rude customers!"
511207,McDonald-s,2015-10-02, Key Crew,"Current Employee, more than 1 year","Victoria, BC",3,5.0,3.0,,1.0,1.0,5.0,v,v,r,Crew,Very flexible schedule and easy to learn,Minimum wage depending on restaurant may be hard to rise above minimum wage.
511270,McDonald-s,2015-10-03, Customer Service,Current Employee,"Cheltenham, Victoria, Victoria",5,5.0,5.0,,5.0,5.0,5.0,v,o,v,customer service,"great staff, nice managers and fun environment","rude customers, one rude manager and long hours"
511518,McDonald-s,2015-10-13, Anonymous Employee,Current Employee,"Mount Barker, South Australia, South Australia",2,2.0,2.0,,1.0,1.0,2.0,x,r,r,Mcdonalds,"The people you work with is great, usually. The half price food before and after your shift isn't too bad either.",Everything. Stress of certain time limits to make food. Abuse from bosses. Under pay. Have to have 24/7 availability even when you have other commitments. Store owners seem untrustworthy.
511525,McDonald-s,2015-10-13, Crew Member,Current Employee,"West Ryde, New South Wales",5,5.0,4.0,,5.0,3.0,4.0,v,o,v,McDonalds West Ryde BP,McDonalds gives a great opportunity to develop your teamwork and your customer service skills. It is also a valued position when looking for other employment as they have some of the best training programs in Australia.,"People are often rude, mostly the customers, and sometimes the heat can be a bit much. It's easy to get frustrated and sick of the job, as there's only so much you can tolerate at a time."
511526,McDonald-s,2015-10-13, Crew Member,"Former Employee, more than 1 year","Kingston, Tasmania, Tasmania",3,3.0,2.0,,4.0,3.0,2.0,x,r,x,Crew member,"You  get discounted food, shifts can be a lot of fun if your working with the right people, great flexibility with hrs",The owner won't stick up for you even if your being harassed by another staff member.It can be quite a gossipy place to work and plenty of rumors get spread about anyone. The customers can be very rude or aggressive.
511546,McDonald-s,2015-10-13, McDonalds Crew Trainer,"Current Employee, more than 1 year","Perth, Western Australia, Western Australia",4,4.0,5.0,,4.0,3.0,3.0,v,r,v,good first job.,"Maccas is a fantastic place to start working. As a first job you get laid quite well, have good training and versatile work load. It also has plenty or area to progress into a a career in business.",There is a tremendous amount of physical work and as a shift goes on fatigue can really take a toll. It is a high intensity work place with emphasis on targets and quality meaning you have little chance to take a breath.
511553,McDonald-s,2015-10-13, Senior Crew,Current Employee,"Bayswater North, Victoria",3,4.0,3.0,,2.0,3.0,4.0,v,v,r,Senior crew member,"You are able to make a lot of friends at work, some may not last but a lot of them do, the shifts are also very flexible meaning you can swap them easy enough and pick them up just as easily if your good at your job.","The managers can sometimes be a bit full on, I understand they're just trying to do their job but I've had a lot of managers that go about it the wrong way, I've also heard of front counter crew complaining about how rude some customers can be."
511775,McDonald-s,2015-10-27, Kitchen Crew,"Former Employee, more than 1 year","Kew, Victoria, Victoria",3,3.0,2.0,,2.0,1.0,1.0,v,r,r,"Great if your 18 and have no skills, or standards.","It's easy work, and it will look good on a resumes in the future.

Great people usually, get to meet people you normally wouldn't.","Demeaning at times, brings out the worst in a lot not the managers.

Not a great look in a social sense."
511898,McDonald-s,2015-11-05, Crew Member,"Current Employee, more than 1 year","Braeside, Victoria, Victoria",3,4.0,1.0,,1.0,2.0,2.0,v,r,r,Casual,"Meet new people
Earn money
Managers are professional 
Flexible hours","Stressful
Hot
Exhausting
Smell bad when leaving work"
512249,McDonald-s,2015-12-09, Crew Trainer,"Current Employee, less than 1 year","Victoria, BC",4,5.0,4.0,,5.0,3.0,3.0,v,o,v,A very good place start,"Easy and quick advancement opportunities if you work hard and want it.
Positive and very supportive environment from all levels of management and crew.
It is a really good place to start your career.  They give you opportunities to lead and learn how the business works.  BCIT also waives your first year of business management schooling after working at McDonalds for an extended period of years.
Also allows you to pay for extended health care, tailored to your needs.  The company pays for part of it, but you only pay for what you need really.","Some of the chemicals used for cleaning gives me and others various skin irritations.  It seems only to affect some of the girls.
Sometimes the rushes can be very overwhelming, especially when you first start out.
Working with younger staff occasionally means someone just won't show up.  This is more common than my other previous jobs, but it leaves you down a person."
512436,McDonald-s,2016-01-01, Cashier,"Former Employee, more than 1 year","Victoria, BC",4,3.0,3.0,,4.0,4.0,3.0,v,v,v,Good place,Nice time table the company workers are nice and talks nicely. The environment of the place is friendly nothing that backfires.,If were for cons I would say that sometimes there are situations where I have to stay a bit late and that is a drag.
512547,McDonald-s,2016-01-08, Mcdonalds Crew Member,Former Employee,"Saint Marys, New South Wales, New South Wales",4,4.0,3.0,,2.0,3.0,3.0,x,r,r,Good place to work but terrible hours and too many staff,"Great team to work with
Usually very good training
Decent Managers","Heat in back area is ridiculous
Sometimes understaffed even 
Given next to no hours even though proven to be good
Dodgy rostering manager"
513496,McDonald-s,2016-03-22, Crew Member,"Current Employee, more than 3 years","Perth, Western Australia, Western Australia",2,2.0,2.0,,1.0,2.0,1.0,x,r,v,Crew,"Good people to work with, a lot of friendly coworkers, some nice benefits for being an employee elsewhere","Management is not any good. Too much emphasis on profit, very little emphasis on crew morale and safety. Crew barely get recognised for good work. Almost always understaffed. Sometimes working conditions are horrible. Rostering is very bad."
514553,McDonald-s,2016-06-22, Back Area Crew Member,Current Employee,"Deer Park, Victoria, Victoria",2,,,,,,,x,r,r,"Mcdonalds, good when you first begin, but goes downhill when you get older","Working with colleagues in a team.
Good social environment where you can make friends
Improve your customer and organisational skills.","Salary based on age.
Always hiring new people all the time.
Shifts are cut when you are above 18 years old because company think that you are too expensive.
Managers treat you like kids even if you are 18 years old and there are not much not opportunities to move up or get promoted.
Some crew members are lazy and muck around all the time, thus reducing productivity in the workplace."
514624,McDonald-s,2016-06-28, Shift Supervisor,"Current Employee, more than 3 years","Five Dock, New South Wales",4,3.0,5.0,,5.0,4.0,4.0,o,o,o,Great Opportunity for Teenagers,"1. You don't require prior experience. If you are potential, you will have opportunities to climb up to the management role easily. 
2. Have great team to learn about customer service and Fast food chain business.",1. Might not be a great if like varieties in your regular jobs. It might feel very repetitive after a while.
514641,McDonald-s,2016-06-30, Crew Member,"Former Employee, more than 3 years","Richmond, New South Wales, New South Wales",4,4.0,4.0,,4.0,2.0,4.0,v,r,r,Richmond store as a part of MACEY Pty Ltd ie Mark Halford,"Fun, rotating staff, flexible work hours, work is simple but challenging, every day is different, procedures work well and are written well and are easy to follow, I especially liked the faq anticipated from customers and how to answer them. I never had a question I wasn't trained how to answer. a great job if you have good management and team, but be weary, some stores are horrible to work in. try and find out before you start, it's not worth staying if it's no fun.","pay was low, some of the managers didn't know what they were doing and took it out on the staff but mostly everyone worked well as a team, became more difficult when team members tried to cut corners or didn't follow procedures as it made it more difficult for everyone else"
515045,McDonald-s,2016-08-08, Crew Member,"Current Employee, more than 1 year","Braddon, Australian Capital Territory",4,4.0,3.0,,5.0,3.0,3.0,v,o,o,crew member,learn great skills and flexible hours,people that work on weekend  should be paid penalty rates
515469,McDonald-s,2016-09-13, Crew Trainer,"Former Employee, more than 5 years","Perth, Western Australia, Western Australia",4,4.0,3.0,,4.0,3.0,3.0,v,o,o,Great place to work,"Good colleagues
Fast paced environment 
Gain excellent customer service skills
Lots of opportunities to grow","Stressful situations with time limits
Angry customers"
515622,McDonald-s,2016-09-25, Crew Trainer,Current Employee,"Deer Park, Victoria, Victoria",5,4.0,4.0,,4.0,1.0,4.0,v,r,r,Fun to work with,"Working as a team, flexibility, more experience, crew get together, Christmas functions are fun to go all together. To grow as well I have done Retail certificate 3 in managment","Sometime too drunk people can spoil the day, heavy lifting might be dangerous for your health, too much pressure can make you irritated"
515915,McDonald-s,2016-10-16, Crew Trainer,Former Employee,"Stanmore, New South Wales, New South Wales",3,5.0,3.0,,3.0,2.0,3.0,x,v,r,Good,"Fun workplace, good work life balance","low wages, difficult senior management"
515927,McDonald-s,2016-10-17, Mcdonalds Crew Member,"Former Employee, less than 1 year","Perth, Western Australia, Western Australia",3,1.0,2.0,,2.0,1.0,1.0,v,v,v,Good experience,"everything is systematic, i have also learnt time management skill",there was no proper training and new crew member has to pick up the skills instantly
516001,McDonald-s,2016-10-23, Anonymous Employee,"Former Employee, more than 5 years","Perth, Western Australia, Western Australia",4,4.0,5.0,,4.0,4.0,2.0,v,o,v,McD,The training at McDoanld's was basic and the skills that theyve taught me have assisted me with future jobs. Applicable to everyday life as well as future employment.,The customers we encountered.
516153,McDonald-s,2016-11-04, Crew Member,"Former Employee, more than 1 year","Croydon, Victoria, Victoria",3,1.0,1.0,,4.0,3.0,1.0,x,v,x,Management is a strong weakness,"Decent pay for a 19-year-old
Staff discounts are a good incentive","3 Changes of Store management within a 1 year, and nearly a complete turnover of all all the managers.
Long hours for young school kids as they are cheap."
516371,McDonald-s,2016-11-24, Mcdonalds Crew Member,Former Employee,"Cremorne, New South Wales, New South Wales",1,4.0,3.0,,1.0,2.0,2.0,x,x,v,Mcdonalds crew member review,Free Food. Like minded people there which is ok at best. No skills required. Training program is rather sufficient. Nice customers.,Poor Management in my opinion. Absolute joke of a manager there with most of the time very little to none experience in the field themselves. Pay is very low. Not recommended. Last resort.
517056,McDonald-s,2017-01-25, Crew Trainer,"Current Employee, more than 3 years","Punchbowl, New South Wales",3,3.0,3.0,,3.0,2.0,3.0,v,r,v,Good,"Great community, good work experience. Great place to start off into the working environment. Definitely a great starting job.",Do not recommend staying for an extended period of time unless you are considering a management or equivalent position - it is a waste of time and effort.
517638,McDonald-s,2017-03-14, Kitchen Hand,"Former Employee, more than 1 year","Perth, Western Australia, Western Australia",2,5.0,1.0,,2.0,1.0,3.0,x,r,r,Kitchen hand,Free drinks good for first job experience,Hot and stuffy environment only hire young people bad pay
517670,McDonald-s,2017-03-17, Crew Member,"Current Employee, more than 3 years","Altona North, Victoria",3,5.0,4.0,,3.0,2.0,2.0,v,x,x,good as a second job,"Very flexible with holdiays and time off.
You can cover your own shift very easily.
hard work gets rewarded with more shifts and the professionalism is world recognized and good for future job opportunities 
the people you work with are very different and unique in there ambitions and personalities,","labor intensive savings 
they attempt to cut corners on wages example being back pay when you have a sixth shift.  
no weekend rates in australia 
you can get some really shocking hours and you dont have a set time your working a week and could end up being rostered inconsistently"
517878,McDonald-s,2017-04-06, Crew Member,"Current Employee, more than 1 year","Perth, Western Australia, Western Australia",3,5.0,2.0,,2.0,2.0,2.0,x,r,v,Good to balance with study,"flexible hours and holiday leave, good people to work with","little prospect of advancement if they know you will not be making a career of working at mcdonalds, favour giving more hours to younger 'cheaper' staff over older staff who actually need money to pay the expenses of living"
519278,McDonald-s,2017-07-26, McDonalds Crew Trainer,"Former Employee, more than 3 years","Victoria, TX",2,3.0,1.0,,3.0,2.0,2.0,v,v,v,It was ok when i was 16,"Flexible Hours
OK pay for the area","Not properly trained
Sometimes didn't get out at scheduled time"
519463,McDonald-s,2017-08-09, Customer Service and Crew Member,"Current Employee, less than 1 year","Australia Landing, MS",5,5.0,5.0,,5.0,5.0,5.0,v,v,v,service crew,MacDonald is nice an good restaurants for the people and I will enjoy to work her in MacDonald.thank you,MacDonald is so cleanliness and beautiful restaurant of the world
520156,McDonald-s,2017-09-30, Crew Member,"Former Employee, more than 1 year","Victoria, BC",3,5.0,3.0,,1.0,1.0,3.0,v,r,r,Not bad,"Flexible hours, managers weren't terrible, though some were unnecessarily strict. There is a 50 % discount, I suggest the greek salad with grilled chicken if you do buy something.

Often you get a 15 min break for 4 hours,
30 min for 4 + hours,
30 min + 15 min for 8 hours","The discount can tempt you to make bad health choices. As earlier stated, some managers were unnecessarily strict."
520544,McDonald-s,2017-10-22, Barista/Crew Trainer,"Current Employee, less than 1 year","Bayswater North, Victoria",3,2.0,1.0,,2.0,2.0,1.0,x,r,x,Crew Member,Learn how to work as a team and give best customer service and 100% quality food.,Never rostered properly for enough hours.
520796,McDonald-s,2017-11-06, Crew Member,"Current Employee, less than 1 year","Cheltenham, Victoria, Victoria",5,5.0,5.0,,5.0,5.0,5.0,v,v,v,Crew Member,Good people and good restaurant.,I believe there are no bad aspects to working at McDonalds.
521002,McDonald-s,2017-11-21, Stock Filler,Former Employee,"Cremorne, New South Wales, New South Wales",4,5.0,5.0,,5.0,5.0,5.0,o,o,o,Customer crew Mc donald,"-Best platform to learn the various ideas, skills, and teamwork related to management.",Working in such mart bring an eagerness to achieve more things in less time.
522252,McDonald-s,2018-03-02, Waitress,"Current Employee, less than 1 year","Werribee, Victoria, Victoria",5,5.0,5.0,,3.0,2.0,5.0,v,o,v,waitress,good place to work at,not enough shifts to work
522256,McDonald-s,2018-03-03, Crew,"Former Employee, more than 1 year","Perth, Western Australia, Western Australia",4,4.0,4.0,,4.0,4.0,4.0,v,v,v,Fun,The people are fun and great to work with,"The pay is not that high and I was 15 back then, they strategically schedule us on night time and on busy times to save money than rostering adults

Some customers bully you"
522868,McDonald-s,2018-04-25, Crew Member,"Former Employee, more than 1 year","Broadmeadows, Victoria, Victoria",5,4.0,4.0,,4.0,4.0,4.0,v,v,r,Fun,"Fast paced
Good people
Regulars
Good way to make new friends
Younger crowd 
Learnt new skills and knowledge
Good training opportunities",Rude customers as they expect us to do everything and it’s a fast paced environment that many people struggle to keep up with
523433,McDonald-s,2018-06-05, Line Cook,"Former Employee, less than 1 year","Victoria, BC",4,3.0,5.0,,3.0,3.0,5.0,v,v,o,McDonalds Canada (BC),"Cool coworkers, 50% off food","Hard work, hot and loud environment, always moving (a l w a y s)"
523684,McDonald-s,2018-06-23, Crew Member,"Current Employee, less than 1 year","Olympic Park, New South Wales",4,3.0,4.0,,2.0,4.0,4.0,v,v,v,Great work environment and crew,"Lots of hours rostered
Discounts on food
Majority of crew is good",Have to work on very busy event days
524200,McDonald-s,2018-08-02, Crew Member,"Current Employee, less than 1 year","Victoria, BC",4,3.0,3.0,,2.0,3.0,4.0,v,r,r,Good for low commitment part time,Very flexible schedule and decent benefits,Sometimes you don't get enough hours
524237,McDonald-s,2018-08-05, Retail,"Current Employee, more than 3 years","Perth, Western Australia, Western Australia",5,5.0,5.0,,5.0,5.0,5.0,v,o,v,AMAZING,Great Pay and like a second family. Honestly best first job really easy and thorough training and easy to go up the ranks.,"Not enough hours, customers can be rude to employees over things we cant control or when we have to park them to not sacrifice our results"
524323,McDonald-s,2018-08-10, Crew Member,"Former Employee, more than 1 year","Burwood, New South Wales, New South Wales",5,5.0,5.0,,5.0,5.0,5.0,v,o,v,Maccas Review,"- Amazing people made a lot of friends i'm still in contact with.
-  Everyone was very willing to help you learn","- Some customers are a pain with their customised burgers
- Very intense peak times
- Your clothes and bag will forever have the smell of oil"
524632,McDonald-s,2018-08-29, Crew Member,"Former Employee, more than 1 year","Waterford, Victoria, Victoria",4,5.0,5.0,,5.0,5.0,4.0,v,v,r,Crew Memeber,I loved the crew very helpful,The customers can be harsh at times
524666,McDonald-s,2018-08-31, Crew Member,"Current Employee, more than 3 years","Perth, Western Australia, Western Australia",4,3.0,4.0,,3.0,4.0,3.0,o,o,o,Good first job,"Great work experience for first-time employees, provides a sense of potential future workplace environments.","Like many restaurants, shifts can become extremely busy and stressful. This may be amplified by openly stressed management, but it's all part of the experience."
524877,McDonald-s,2018-09-17, Guest Service Team Member ,"Current Employee, more than 1 year","Victoria, BC",4,3.0,5.0,,5.0,5.0,5.0,v,v,v,Good company,Amazing training and always willing to give more training if it's needed.,Long hours and don't always give you the hours you would like.
525031,McDonald-s,2018-09-29, Mcdonalds,"Former Employee, more than 1 year","Coogee, New South Wales, New South Wales",3,3.0,5.0,,3.0,2.0,1.0,o,o,o,Good first job learn a lot but a better pay would be greater,Good work for first job you learn a lot,Very low pay and they kind of expect you to know a lorb
525112,McDonald-s,2018-10-05, Restaurant General Manager,"Former Employee, more than 8 years","Victoria, BC",4,3.0,3.0,,5.0,4.0,4.0,v,v,v,Challenging and rewarding,"Work with great people, drive my own success",Always need more great people
525316,McDonald-s,2018-10-18, Crew Member,"Current Employee, less than 1 year","Laverton, Victoria, Victoria",3,3.0,3.0,,4.0,2.0,4.0,v,v,v,Great working environment,"Management are usually really understanding and nice, you get the occasional nice customer and your co workers are all really lovely people","You get some rude customers, but that's like any job."
525931,McDonald-s,2018-12-12, Customer Service/Cashier,"Former Employee, more than 1 year","Victoria, BC",4,4.0,4.0,,4.0,3.0,5.0,v,o,o,Customer Service/Cashier,"Great team, 50% off food items even on your days off.   Managers jump in & help where needed.",Crew members late with little or no reprisals.   Constantly understaffed.
526039,McDonald-s,2018-12-26, Student,"Former Employee, less than 1 year","Kwinana, Western Australia, Western Australia",4,4.0,1.0,,1.0,2.0,1.0,v,r,r,McDonalds as a first job,"Very easy interview, they will hire anyone who is younger than 18, I was hired when I was 14/15","I wasn't able to change my shift times and when I requested to, they just didn't give me shifts anymore without informing me beforehand. The turnover is very high, and pay rates are low for young people although that is understandable."
526079,McDonald-s,2019-01-01, Crew Member,"Current Employee, more than 3 years","Bayswater North, Victoria",2,1.0,2.0,,3.0,2.0,1.0,x,x,r,The Name of the Game is Stress,"The people you work with are often great. They try their hardest and there is genuine teamwork that occurs. Even the managers are often nice, they certainly have human sides.  

McDonald’s will train you well. You will know how to deal with a variety of situations, cleaning will become second nature and your skills with either customers or food handling will be unparalleled. But there is a high price to pay for that.","McDonald’s runs on stress and threats. Every action you perform can have drastic consequences and if it does not meet the standards except to be reprimanded. Written warnings, vague open ended threats and even straight up verbal harassment. 

The system is set up to keep you stressed so you’re always performing fast and on the fly. But this constant stress takes its toll, especially outside of the workplace. Managers experience it the the worst, having unrelenting stress thrust upon them by the higher ups mandating all sorts of sales goals and timing. Profit comes at the cost of the people."
526335,McDonald-s,2019-01-21, Crew Member,"Current Employee, more than 3 years","Perth, Western Australia, Western Australia",4,3.0,3.0,,4.0,3.0,3.0,v,v,v,McDonald’s crew member,"Great environment to work in, lovely staff, challenging job but very rewarding, always a delight creating friendships with customers.","Very busy environment, usually have to work under pressure. Never enough crew on shift. Communication is always lacking especially considering the only form of communication to upstairs is through a head set( in my specific store)"
526409,McDonald-s,2019-01-26, McDonalds Crew Trainer,"Former Employee, more than 1 year","Perth, Western Australia, Western Australia",5,5.0,5.0,,4.0,4.0,5.0,v,r,v,Great Time,"Nice managers, flexible shifts, similar aged staff, good pay rate",quality is sometimes valued less than speed and efficiency
526972,McDonald-s,2019-03-05, Team Member,"Current Employee, more than 1 year","Burwood, Victoria, Victoria",4,4.0,4.0,,4.0,5.0,2.0,v,r,r,Team Member,"Great Training, Good Social Aspect","Fast Paced, Difficult to Keep Up"
527363,McDonald-s,2019-03-29, Crew Trainer,"Current Employee, more than 3 years","Croydon, New South Wales, New South Wales",5,5.0,5.0,,5.0,5.0,4.0,v,v,v,CrewMan,"good employee discount, young people",demanding but customers are the only 'annoying' part
527547,McDonald-s,2019-04-09, Crew Member,"Current Employee, less than 1 year","Perth, Western Australia, Western Australia",4,4.0,3.0,,5.0,3.0,3.0,v,v,v,Crew Member,"Meeting new people and friends, friendly staff and nice atmosphere.",Some managers can be not that nice but mostly they are fine and the customers can sometimes be a pain in the butt.
527756,McDonald-s,2019-04-24, Crew Member/Delivery Driver/Crew Trainer,"Former Employee, more than 1 year","Stanmore, New South Wales, New South Wales",3,1.0,1.0,,1.0,1.0,1.0,v,r,r,Standard,It’s fun if you make friends,Can be boring depending on the manager
527780,McDonald-s,2019-04-25, Restaurant Manager,"Current Employee, more than 5 years","Perth, Western Australia, Western Australia",5,4.0,5.0,,5.0,4.0,5.0,v,v,v,Good Place to Work,"The people, the opportunity and the work.",Sometimes can get a bit too crazy.
527963,McDonald-s,2019-05-07, Area Manager,"Former Employee, more than 5 years","Laverton North, Victoria",2,4.0,2.0,,2.0,2.0,2.0,x,o,o,Area Manager 5 years experience,"Good for high school students, with decent flexibility.","It gets depressing working in fast food for a long time and getting paid minimum wage. All the operation managers, consultants and the big bosses get paid so much, when all the young employees are doing all the hard work in the hot oily greasy and smelly environment. Big bosses roster on minimal crew to save labour, at the expense of making the crew work so much harder, just so they can profit more, and guess who pockets the profits? Not the hard working crew on minimum wage. The big bosses that already make 3 figure salary get to take home the extra profit from rostering on minimal crew."
528310,McDonald-s,2019-05-29, Crew Member,"Former Employee, more than 1 year","Victoria, TX",3,3.0,2.0,,5.0,3.0,3.0,x,r,r,Favoritism,"-You get alot of hours
-If you are a favorite, it is like working with your family
-good job for customer service and working under pressure skills","-everyone here is messy (drama-wise)
-people always quit 
-they expect you to work past your end time and you can't even be mad about it or you will be talked down on"
528349,McDonald-s,2019-05-31, Food Maker,"Current Employee, more than 1 year","Cremorne, Victoria, Victoria",5,3.0,3.0,,3.0,3.0,3.0,x,r,r,Good place to work,Good people and atmosphere making it great,hard to do for its hot and unconfortable
528508,McDonald-s,2019-06-09, Cashier,"Former Employee, less than 1 year","Victoria, BC",3,4.0,4.0,,2.0,3.0,1.0,x,r,x,decent,"50 % off your meals, great hours, and you gain great experience in customer service and food.",poor management and rude customers
528658,McDonald-s,2019-06-18, Crew Member,"Former Employee, less than 1 year","Sutherland, New South Wales, New South Wales",4,4.0,3.0,,2.0,3.0,4.0,x,x,x,Crew,"Fun, exciting, fun and fun and fun","Tiring, very tiresome, like yeah"
529241,McDonald-s,2019-07-22, Barista,"Current Employee, more than 1 year","Perth, Western Australia, Western Australia",5,3.0,3.0,,4.0,4.0,4.0,v,v,v,great money and lots of learning!,Good money and amazing opportunities with customer experience,Very busy and you have to be fast!
529480,McDonald-s,2019-08-04, Team Member,"Former Employee, less than 1 year","Manly, New South Wales, New South Wales",2,3.0,3.0,,3.0,3.0,3.0,x,x,v,"Great environment, poor management",Get to work with lovely young people,Can be understaffed at times
529520,McDonald-s,2019-08-07, Cashier and Barista,"Current Employee, more than 1 year","Perth, Tasmania, Tasmania",3,3.0,3.0,,3.0,2.0,2.0,v,o,o,Barista,"Barista Experience, Customer Service Experience","Stressful, Managers can be toxic"
529585,McDonald-s,2019-08-11, Crew Member,"Current Employee, less than 1 year","Perth, Western Australia, Western Australia",4,3.0,5.0,,5.0,2.0,,v,r,v,Great working environment and good company culture,"Will depend on the restaurant, but my restaurant is a great place to work.  I was properly trained and have not really had any issues with any of my colleagues.",Experience will vary greatly between restaurants and many people have had issues with incompetent managers etc.
529625,McDonald-s,2019-08-12, Shift Manager,"Current Employee, more than 8 years","Perth, Western Australia, Western Australia",3,1.0,2.0,,4.0,3.0,3.0,x,o,r,Mcdoanlds,Good people and discounted food,Busy understaffed no praise
529732,McDonald-s,2019-08-20, Crew Member,"Former Employee, less than 1 year","Epping, Victoria, Victoria",2,4.0,3.0,,3.0,3.0,1.0,x,r,x,Was always stressed and depressed while working here,Training and salary are pretty good,"Intense, managers yell at you all the time"
529890,McDonald-s,2019-08-30, Casual Front Area,"Former Employee, less than 1 year","Saint Ives, New South Wales, New South Wales",3,1.0,3.0,,1.0,1.0,4.0,x,r,r,Good job if you have nothing else to fo,"- Good shifts 
- Fun co- workers","- Bad staff 
- Rude manager"
530199,McDonald-s,2019-09-17, Crew Member,"Current Employee, more than 5 years","Perth, Western Australia, Western Australia",3,5.0,3.0,,1.0,1.0,2.0,x,r,r,very flexible work hours for life commitments,Relatively easy to book time off and rearrange shift times,Can be particularly ruthless with work consistency
530220,McDonald-s,2019-09-18, Crew Trainer,"Current Employee, more than 8 years","High Wycombe, Western Australia",3,4.0,4.0,,3.0,2.0,2.0,x,r,r,Is it worth being a Crew Trainer,"-The people that you work with
-Educating others on the job
-Working in a team environment
-Engaging with customers","-Salary
-Dealing with things as they come
-Sometimes customer abuse"
530537,McDonald-s,2019-10-08, Crew Trainer,"Former Employee, more than 3 years","Perth, Western Australia, Western Australia",3,3.0,4.0,,3.0,2.0,4.0,x,r,r,Availability and online systems,The flexible hours allow students to work in their available times. The online system is user friendly when it works.,Sometimes managers ignore availability requests and often the system to request times when you are not available do not allow you to log in or use the site.
530674,McDonald-s,2019-10-15, Crew Member,"Former Employee, less than 1 year","Victoria, England, England",1,2.0,1.0,,4.0,3.0,1.0,x,x,x,Don’t,I’m sorry but there are none,"Staff and customers are disrespectful.
Colleagues are stinky."
