firm,date_review,job_title,current,location,overall_rating,work_life_balance,culture_values,diversity_inclusion,career_opp,comp_benefits,senior_mgmt,recommend,ceo_approv,outlook,headline,pros,cons
IBM,41800, IBM GBS Consulting By Degrees Entry Level Consultant,"Current Employee, more than 1 year","Perth, Western Australia, Western Australia",3,3,1,,3,3,2,x,r,r,Rather underwhelmed,"Obviously it's a really well recognised brand, and if you make a good impression on people with the right people and/or end up in a good team, you can get involved in quite interesting work.","Despite all the HR rhetoric around ""we do everything, so you can have multiple career paths within the same company"" the reality is that business need is absolute number 1, above investing in their people, developing logical approaches to client relationships etc. There's a huge disconnect between the product recruiters sell you (6 month rotations in different areas, develop your skills, opportunity for exposure to strategy work, analytics) is extremely different from the reality (a lot of need for technical or administrative grads, account partners are only interested in the skills you have and will keep you in a role for 12 months+ to use them).

Resource management is so convoluted that in practice the only way to get on to projects is to know the right people, which results in a bit of a ""boys club"" atmosphere on some accounts.

And obviously lots and lots of systems that you have to go through for everything from reclaiming expenses to trying to be promoted, none of which seem to integrate at all."
IBM,42049, Senior Program Manager,"Current Employee, more than 8 years","Perth, Western Australia, Western Australia",1,1,2,,1,1,1,x,o,x,"Treated as an expendable ""resource"" - no longer enjoyable to work here","Name Recognition on CV is perhaps one of the few advantages for having worked at IBM
Personal Network of Professionals","- Too many levels of management; slow to respond to customer requests for support, new deals
- We've lost the plot in making our client #1; instead - we're more focused, too focused on shareholder earnings per share
- Our Leadership has forgotten a basic tenet -- if we don't have satisfied clients; our EPS will soon follow (downward spiral)
- Out of balance compensation adjustments- our CIO, Leadership should NOT be getting a bonus, salary increase - while telling the actual work force that we had a ""bad year"" - and thus, won't be able to reward/compensate you as much as we had hoped in 2014."
IBM,42049, Senior Program Manager,"Current Employee, more than 8 years","Perth, Western Australia, Western Australia",1,1,2,,1,1,1,x,o,x,"Treated as an expendable ""resource"" - no longer enjoyable to work here","Name Recognition on CV is perhaps one of the few advantages for having worked at IBM
Personal Network of Professionals","- Too many levels of management; slow to respond to customer requests for support, new deals
- We've lost the plot in making our client #1; instead - we're more focused, too focused on shareholder earnings per share
- Our Leadership has forgotten a basic tenet -- if we don't have satisfied clients; our EPS will soon follow (downward spiral)
- Out of balance compensation adjustments- our CIO, Leadership should NOT be getting a bonus, salary increase - while telling the actual work force that we had a ""bad year"" - and thus, won't be able to reward/compensate you as much as we had hoped in 2014."
IBM,42077, Consultant,"Current Employee, more than 3 years","Perth, Western Australia, Western Australia",2,2,2,,3,2,2,x,x,r,Redundancies a plenty,Good training courses in the first half of the year. Exceptional co-workers. Big ticket clients and projects. Career opportunities for graduates are great if you don't mind getting underpaid for years.,Round after round of redundancies while they are battling to restructure and embed their new strategy. Current morale is very very low. EXTREME focus on billable utilisation hours with push for 110%+ utliisation (reflected in performance metrics). Experienced (and hence more expensive) consultants are the first to be made redundant leaving an inexperienced workforce. Pays well under market rates for specialised consultants.
IBM,42077, Consultant,"Current Employee, more than 3 years","Perth, Western Australia, Western Australia",2,2,2,,3,2,2,x,x,r,Redundancies a plenty,Good training courses in the first half of the year. Exceptional co-workers. Big ticket clients and projects. Career opportunities for graduates are great if you don't mind getting underpaid for years.,Round after round of redundancies while they are battling to restructure and embed their new strategy. Current morale is very very low. EXTREME focus on billable utilisation hours with push for 110%+ utliisation (reflected in performance metrics). Experienced (and hence more expensive) consultants are the first to be made redundant leaving an inexperienced workforce. Pays well under market rates for specialised consultants.
IBM,42445, Intern,Current Employee,"Perth, Western Australia, Western Australia",4,4,4,,4,4,4,v,v,v,First Professional Role,Able to work from home. Friendly staff. Role is what you make of it can get good experience etc. Heard IBM is good on the resume.,Not any that I could say at the moment. IBM is undergoing change and hopefully that change is successful so it can continue to be a good employer.
IBM,42479, Senior Managing Consultant,"Current Employee, more than 3 years","Perth, Western Australia, Western Australia",3,3,3,,1,2,1,x,x,x,Senior Managing Consultant,Provides great opportunities to learn and develop your capabilities.,Very complex organisation with too much bureaucracy. Struggling to adapt to market changes
IBM,42479, Senior Managing Consultant,"Current Employee, more than 3 years","Perth, Western Australia, Western Australia",3,3,3,,1,2,1,x,x,x,Senior Managing Consultant,Provides great opportunities to learn and develop your capabilities.,Very complex organisation with too much bureaucracy. Struggling to adapt to market changes
IBM,42677, Senior Systems Engineer,"Current Employee, more than 5 years","Perth, Western Australia, Western Australia",4,4,4,,4,3,3,v,r,r,Ibm pros n cons,Good work culture and provide work life balance,Too much process oriented
IBM,42677, Senior Systems Engineer,"Current Employee, more than 5 years","Perth, Western Australia, Western Australia",4,4,4,,4,3,3,v,r,r,Ibm pros n cons,Good work culture and provide work life balance,Too much process oriented
IBM,42795, Graduate Consultant,"Current Employee, less than 1 year","Perth, Western Australia, Western Australia",3,4,3,,4,3,3,x,v,x,"It's a good place to learn, but is big and unweildy","I get exposed to big business very early, and I am asked to take on tasks as a graduate that higher level employees would usually take on","The work is quite boring unless you can get into the cool parts of the company, and there isn't much interesting work in Perth."
IBM,43198, Financial Analyst,"Former Employee, more than 10 years","Perth, Western Australia, Western Australia",2,1,1,,1,2,1,x,x,x,Don't care about people.its all the profit on the books and how good the higher managers look,"They used to be a great, caring company where you wanted to stay forever. Once there was loyalty",Don't trust anyone. Always have to watch your back. No salary increase. Even have to supply your own cup to have water in let along tea and coffee.
IBM,43325, Technical Test Lead,"Current Employee, more than 8 years","Perth, Western Australia, Western Australia",4,4,4,,4,2,3,o,o,o,Test Manager,Like to join again in IBM,"Too much process, no HR"
IBM,43511, Senior Software Development Manager,"Former Employee, more than 10 years","Perth, Western Australia, Western Australia",4,4,5,,4,5,4,v,r,r,Senior Software Development Manager,"Interesting work, interesting and knowledgeable colleagues.","Excessive HO control, ever tighter budgets."
IBM,43511, Senior Software Development Manager,"Former Employee, more than 10 years","Perth, Western Australia, Western Australia",4,4,5,,4,5,4,v,r,r,Senior Software Development Manager,"Interesting work, interesting and knowledgeable colleagues.","Excessive HO control, ever tighter budgets."
IBM,43568, Anonymous Employee,"Former Employee, more than 10 years","Perth, Western Australia, Western Australia",4,4,5,,3,4,4,v,v,o,Great place to work?,"IBM genuinely try to live up to their values as an equal opportunity employer. They do a lot of things right, especially by comparison to other places I've worked.","The company is so massive, you are really just a number. You tend to end up highly specialised which doesn't necessarily leave room for promotion or translate well to other companies."
IBM,44193, Applications Architect,"Current Employee, more than 8 years","Perth, Western Australia, Western Australia",3,5,5,5,4,3,3,o,v,o,A secure job,"job security
work life balance
good learning infrastructure","too much work from home
less initial salary
slow increments"
IBM,44333, Senior Value Analyst,Current Employee,"Perth, Western Australia, Western Australia",4,,,,,,,o,o,o,Great,Good working environment and salary,Consulting practice is yet to build their brand to rival big 4
ISS-Facility-Services,43370, Aviation Security Officer,"Current Employee, less than 1 year","Perth, Western Australia, Western Australia",4,2,5,,4,4,5,v,o,o,Good company to work for,Penalty rates are good. Lots of breaks provided.,Only 1 week notice of shifts. Hard to get days off.
ISS-Facility-Services,43812, Utilities/Kitchen Hand All Rounder,"Former Employee, more than 3 years","Perth, Western Australia, Western Australia",4,1,3,,3,4,3,o,o,o,Close quarters,"FIFO,good pay,able to save more","FIFO, living and working with ppl,long hours"
ISS-Facility-Services,44302, Village Manager,Current Employee,"Perth, Western Australia, Western Australia",5,3,4,3,5,4,4,v,r,v,Great company to work for,"Lots of learning and development opportunities 
Easy to make a quick progression",Some improvements are being made to IT which is welcome
ISS-Facility-Services,44321, Cleaner,"Former Employee, more than 3 years","Perth, Western Australia, Western Australia",3,4,2,4,3,3,3,v,v,r,Not to bad,some very good friendly co-worker,No respect from the manager
JLT-Group,42106, Insurance Broker,"Former Employee, more than 1 year","Perth, Western Australia, Western Australia",4,2,3,,3,4,2,v,o,r,"Great company overall, but SME Dept is awful.","Excellent infrastructure, tech support, and compliance focus for the company as a whole.","The Small Business department is chaotic, under-resourced and certain individuals get over-loaded while others do the barest minimum, and help is never given."
JLT-Group,42775, Test Analyst,"Former Employee, more than 5 years","Perth, Western Australia, Western Australia",3,5,5,,2,2,3,x,r,r,Experience was OK.,"Colleagues are very cooperative and easy going.
Environment is very friendly.
No pressure.
Learning is bit slow coz the technology they use is very old.","No challenges - hard to get the pay rise.

I.T. department - they don't really care about."
JLT-Group,42863, Anonymous Employee,"Former Employee, more than 3 years","Perth, Western Australia, Western Australia",1,1,1,,1,1,1,x,x,x,Worst company to work for in IT,"The people are good but not the management . Nice place to work very genuine people , very much centrally located","Very bad and nasty management in IT  by the CIO ! Everything is good as long as you are being productive for the company and the moment you have some personal problem for a short period of time  and you are not able to perform because of a grief or loss then the management gives you extra pressure and work and sets very rude and inhuman deadlines and calls for meetings every day and checks your progress  and then begins micro management , if you are a min late then its put in your performance management ..Very unprofessional work place  !"
KPMG,41587, Tax Consultant,"Former Employee, more than 1 year","Perth, Western Australia, Western Australia",1,1,1,,4,1,1,x,o,r,Stuck in old fashion ideas about staff  incentives,You get a recognised name on your résumé.,No one listens if you have an issue and if they pretend to listen you are still guaranteed no action. They change the rules and don't tell you and are making it harder for graduates to get their CA and any promotions.
KPMG,42460, Audit,Current Employee,"Perth, Western Australia, Western Australia",5,4,5,,5,3,5,o,o,o,Audit Review,Great work environment and culture. Their people are a real pleasure to work with. Great opportunities to progress in your field or move to other divisions.,"Nothing out right. Hours can be long in busy seasons - but that can be expected anywhere. Other than that, no complaints."
KPMG,42772, Vacationer,Former Employee,"Perth, Western Australia, Western Australia",4,2,4,,5,4,4,v,r,v,Was a good experience.,The money that they gave us was good. The things that I learnt were things that uni doesn't teach. They cared about our development.,Often times where there wasn't much to do. There was a lack of feedback throughout the eight week process. Didn't factor in your location when giving you clients.
KPMG,42959, Manager,"Current Employee, more than 8 years","Perth, Western Australia, Western Australia",4,2,3,,4,2,3,o,o,o,Great place to kick-start your career,"Great on the job learning experience, provides exposure to a broad range of clients and disciplines","Culture varies considerably city to city, department to department, partner to partner
Subpar training  and performance management programs"
KPMG,42986, Assistant Manager,"Current Employee, more than 1 year","Perth, Western Australia, Western Australia",3,2,4,,3,3,2,o,o,o,Manager,"- Big4
- learning and trainings 
- networking","Salary
Pressure
Unrealistic deadlines 
Work life balance"
KPMG,43384, Director Advisory,Current Employee,"Perth, Western Australia, Western Australia",5,4,4,,4,4,4,v,v,v,Fantastic experience. Good culture in australia less so in Asia,"Great experience, good working culture collegial and flexible hours",Audit relationships a drag on corporate finance opportunities
KPMG,43438, Audit Assistant Manager,"Current Employee, more than 5 years","Perth, Western Australia, Western Australia",1,1,4,,3,1,1,x,o,x,Review,"Amazing people and culture
Good exposure to large and listed clients
Plenty of responsibilities entrusted to you from early on","Terrible staff resourcing and planning
Very long working hours
Poor engagement and little respect between Senior Management and lower level staff"
KPMG,43505, Manager,"Current Employee, more than 1 year","Perth, Western Australia, Western Australia",5,4,3,,3,4,4,v,o,o,Good Big 4 consulting experience,Dedicated people to work along side. Partners genuinely care about improving firm wlb,"Career progression unclear, need to find your own way through the firm. Lateral hires a very mix bag, some are amazing others clearly out of their depths."
KPMG,43594, Transfer Pricing Consultant,"Former Employee, more than 3 years","Perth, Western Australia, Western Australia",3,2,3,,4,2,3,v,r,r,Get the foot in the door,"Good team, many opportunities, good career starter","low salary to start, work-life balance can be poor"
KPMG,43594, Transfer Pricing Consultant,"Former Employee, more than 3 years","Perth, Western Australia, Western Australia",3,2,3,,4,2,3,v,r,r,Get the foot in the door,"Good team, many opportunities, good career starter","low salary to start, work-life balance can be poor"
KPMG,43627, Associate Director,"Current Employee, more than 5 years","Perth, Western Australia, Western Australia",4,3,5,,4,2,4,o,o,o,Good culture,People are great and fun,Pay is below industry average
KPMG,43768, Assistant Manager,"Former Employee, more than 8 years","Perth, Western Australia, Western Australia",5,2,4,,5,3,2,v,r,r,Great for career buildig,"Knowledge gained
Skilled set developed","Hours
Work like balance 
Red tape"
KPMG,43775, Assistant Manager,"Former Employee, less than 1 year","Perth, Western Australia, Western Australia",1,1,,,,,1,x,v,x,ITA NORTH- risk consulting(Cyber Transformation),"Here you can be good liar, because too much lie in this organization. Specially in ITA NORTH gurgaon and Noida","Before starting I must say this is for ITA NORTH,cyber security,NOIDA location

1. Poor management, no such projects in hands.
2. While hiring employee they lie to people that we have everything available and fluids of project but actually there is no such thing.
3. Very bossy culture, designation matters here. Like manager, director treat their lower staff like slaves.
4. So many people have shared their review  and feedback before leaving but nothing had worked.

5. No such hardcore technical work and no such tie ups with OEM's, so if you are coming for learning than you feel regret.
6.  Worst office culture.
7.even you are implementation guy you have to do sales with no account in hand."
KPMG,43815, Senior Audit Accountant,"Current Employee, more than 3 years","Perth, Western Australia, Western Australia",4,2,3,,5,3,4,v,o,v,Great training ground,"The people
The diversity of industries and scope of things you look at early on in your career
Career progression","Long hours
Low pay considering hours"
KPMG,43871, Partner,"Former Employee, more than 8 years","Perth, Western Australia, Western Australia",5,4,5,,4,4,5,v,v,v,Great culture,"Strong people culture, long term relationships with clients, trusted brand and reputation.",Smallest of the Big 4
KPMG,44085, Staff Accountant,Current Employee,"Perth, Western Australia, Western Australia",3,,,,,,,o,o,o,It is what it is,Good experiences offered by firm,Everything else offered by firm
KPMG,44105, Chief Executive Officer,Current Employee,"Perth, Western Australia, Western Australia",5,,,,,,,v,o,v,Very nice,Professional company nice environment good office,"Too big
May be challenging to change position"
KPMG,44139, Manager,Current Employee,"Perth, Western Australia, Western Australia",5,,,,,,,o,o,o,Good,Good training and development for all levels,Long hours and multiple bosses (internal and external)
KPMG,44146, Auditor,Current Employee,"Perth, Western Australia, Western Australia",5,,,,,,,o,o,o,Great oppotunity,Great People to work with,Working hours can be long
KPMG,44146, Auditor,Current Employee,"Perth, Western Australia, Western Australia",5,,,,,,,o,o,o,Great oppotunity,Great People to work with,Working hours can be long
KPMG,44220, Senior Consultant,Former Employee,"Perth, Western Australia, Western Australia",4,,,,,,,o,o,o,Good,Interesting work and good team,Poor salary and benefits and rewards packages
KPMG,44232, Manager,Current Employee,"Perth, Western Australia, Western Australia",2,1,2,3,2,1,2,v,o,v,Rewarding career,Platform to work on your strengths and skill sets,Long hours and may be not feasible for working mom with young kids
KPMG,44250, Assistant Manager,"Current Employee, more than 5 years","Perth, Western Australia, Western Australia",3,2,3,4,3,3,3,x,r,r,Fun place to work but also can get very intense,"Its like uni never ended, a lot of young people. Alot of them from the same uni as well.

Flexibility in terms of how you manage your work","Salary just aint competitive enough.

Office very understaffed to handle the jobs"
KPMG,44260, Graduate Consultant,"Current Employee, less than 1 year","Perth, Western Australia, Western Australia",4,2,3,3,4,4,3,v,v,v,Stressful but ok,Decent salary; great exposure and experience,Tough and stressful; long hours
KPMG,44260, Graduate Consultant,"Current Employee, less than 1 year","Perth, Western Australia, Western Australia",4,2,3,3,4,4,3,v,v,v,Stressful but ok,Decent salary; great exposure and experience,Tough and stressful; long hours
KPMG,44283, External Auditor,"Current Employee, more than 1 year","Perth, Western Australia, Western Australia",1,1,1,4,1,1,3,x,x,x,Nah,there are no pros to this job.,Everything about this job is a con.
Link-Group,43478, Customer Service,"Current Employee, more than 1 year","Perth, Western Australia, Western Australia",1,1,1,,1,1,1,x,x,x,Oh dear,"Hmm let’s see..... nothing. 
Maybe location.","Management 
Click mentality
Wanna be management
Favouritism 
Poor management 
Kpi over quality 
Morale"
Link-Group,44328, Customer Service Representative,"Current Employee, more than 1 year","Perth, Western Australia, Western Australia",3,4,4,5,2,3,2,v,r,r,"Good work life balance, decent pay","Decent pay, management was approachable and open, work culture was great","not much room for growth, slow systems, not enough staff"
LinkedIn,41557, Sales Manager,"Current Employee, less than 1 year","Perth, Western Australia, Western Australia",5,5,5,,4,4,5,v,v,v,Helping individuals and companies get better by enabling open conversation,"Passion, achievement, great team spirit, clear and achievable vision, opportunity to learn and grow.  Unique culture of content sharing and drive to support our members first experience","Can be difficult accessing the broader business whilst working in Perth, but that's more of a daylight saving problem !"
Marriott-International,43941, Finance Officer,"Former Employee, less than 1 year","Perth, Western Australia, Western Australia",4,2,4,,4,2,2,v,v,r,Great Opportunities,"Exposure to different working hotel operations. 
Dealing with international clientele.",Exposed mostly to client based operations and not much on crunching numbers.
Marriott-International,44168, Maintenance Technician,Current Employee,"Perth, Western Australia, Western Australia",4,4,4,4,4,4,4,o,o,o,T,Good good good good good,Too hectic and the management doesn't really care
Marriott-International,44316, Guest Service Agent,"Current Employee, more than 1 year","Perth, Western Australia, Western Australia",3,3,2,4,4,2,3,o,o,o,Review,"Travel Discount Benefits, F&B discounts","shift hours, lack of appreciation, management differs from hotel to hotel"
McDonald-s,41553, Crew Member,"Current Employee, more than 1 year","Perth, Western Australia, Western Australia",4,4,5,,3,4,3,v,o,v,Generally positive place to work,"Possibly the best paid place to work in the fast food industry. Training can be good if you get the right crew trainer. Having a great shift supervisor also helps. Have never seen any discrimination in my particular workplace. Casual rate is $23.64/hr inc loading or $18.92/hr for P/T, F/T (Adult Rate).",Bad shift supervisors can be a problem. Bad crew trainers are also problematic. If you get either/both of these then it can be a difficult place to work.
McDonald-s,41768, Crew Member,"Former Employee, more than 1 year","Perth, Western Australia, Western Australia",3,3,2,,3,3,3,v,o,r,"Happy, fun work environment, head office a little uptight","Has a lot of fun working there, the main thing is that your co-workers are amenable. I was lucky to have hard working  and diverse colleagues as well as pretty fair managers. On the whole they're pretty flexible with hours and scheduling. If someone wants to move up in the business- as my store manager did from the age of 15- there is a clear hierarchy and good workers including myself were rewarded for their dedication and ability. I felt like the senior management respect the value of each individual worker.","Although legal according to Australian labour laws, having to pay for meals at work seems pretty cheap from a company that pays minimum wage. As I was under 16 -the lowest paid- the managers were a little too keen to get me to work every holiday and you have to replace your shift with the same pay bracket. I often felt pressure from the managers when I tried to refuse to replace a shift. Work can be dull and repetitive, but if you're working with good people the time can fly by."
McDonald-s,41905, Crew Member/Grill Cook,"Former Employee, more than 3 years","Perth, Western Australia, Western Australia",4,4,4,,4,4,4,v,v,v,Great place to start,"Flexible hours, staff food discount, opportunity to progress, fun place to work,  staff outings, uniform , paid on time,  job diversity",Some of the challengers are working night shifts and having to deal with drunk and unruly customers who are at times difficult to deal with.
McDonald-s,41926, Crew Member,"Current Employee, more than 1 year","Perth, Western Australia, Western Australia",2,3,1,,1,1,2,x,o,r,Was a good FIRST job,"Food Discount (but only 20% off when you arent working that day OR your order is more than $20)
Flexible Hours
Easy work","Little to no promotions
Very tight budget and stingy managers
Managers are very arrogant and often 'bully' staff
At my store it was all about smoking, if you didn't smoke you did not fit in
Complaints or advice not listened to"
McDonald-s,42213, Casual Crew,"Current Employee, more than 1 year","Perth, Western Australia, Western Australia",4,3,2,,4,3,4,v,o,r,"Rewarding and fun, but demanding and stressful","Very fair pay, overtime, 50% discount, responsive and friendly management (most of the time), great opportunity to make friends","Often rude and impatient customers, bad managers can bring the morale of the whole crew down, often volatile rostering, stressful during rushes, physically and emotionally demanding at times"
McDonald-s,42263, Crew Trainer,"Current Employee, more than 5 years","Braddon, Australian Capital Territory",4,4,4,,4,4,4,v,r,v,It's not as bad as you think!,"For the most part it's a pretty good environment to work in, they're really good with training, and you're guaranteed to make friends","Can get stressful when it's really busy, and when you have to deal with awful customers"
McDonald-s,42278, McDonalds Store Manager,Current Employee,"Perth, Western Australia, Western Australia",3,2,3,,4,4,3,v,v,v,Business Manager,"There are alot of great opportunities in McDonalds. You get to travel, a good education alongside working and you get to work in a range of a lot of really close nit teams. You learn a lot of useful skills that can be translated into many different areas of life. The incentive packages are competitive in the industry.",It takes up a lot of your time. You need to be available at all times and be prepared to give up a lot to be able to do the job. There is not much work life balance.
McDonald-s,42278, Shift Supervisor,"Current Employee, more than 8 years","Armadale, Western Australia, Western Australia",5,3,5,,5,5,5,v,o,v,Shift supervisor,the family! Comraderie within the business I have made friends for life,"working late nights, rude customers!"
McDonald-s,42290, Anonymous Employee,Current Employee,"Mount Barker, South Australia, South Australia",2,2,2,,1,1,2,x,r,r,Mcdonalds,"The people you work with is great, usually. The half price food before and after your shift isn't too bad either.",Everything. Stress of certain time limits to make food. Abuse from bosses. Under pay. Have to have 24/7 availability even when you have other commitments. Store owners seem untrustworthy.
McDonald-s,42290, McDonalds Crew Trainer,"Current Employee, more than 1 year","Perth, Western Australia, Western Australia",4,4,5,,4,3,3,v,r,v,good first job.,"Maccas is a fantastic place to start working. As a first job you get laid quite well, have good training and versatile work load. It also has plenty or area to progress into a a career in business.",There is a tremendous amount of physical work and as a shift goes on fatigue can really take a toll. It is a high intensity work place with emphasis on targets and quality meaning you have little chance to take a breath.
McDonald-s,42451, Crew Member,"Current Employee, more than 3 years","Perth, Western Australia, Western Australia",2,2,2,,1,2,1,x,r,v,Crew,"Good people to work with, a lot of friendly coworkers, some nice benefits for being an employee elsewhere","Management is not any good. Too much emphasis on profit, very little emphasis on crew morale and safety. Crew barely get recognised for good work. Almost always understaffed. Sometimes working conditions are horrible. Rostering is very bad."
McDonald-s,42590, Crew Member,"Current Employee, more than 1 year","Braddon, Australian Capital Territory",4,4,3,,5,3,3,v,o,o,crew member,learn great skills and flexible hours,people that work on weekend  should be paid penalty rates
McDonald-s,42626, Crew Trainer,"Former Employee, more than 5 years","Perth, Western Australia, Western Australia",4,4,3,,4,3,3,v,o,o,Great place to work,"Good colleagues
Fast paced environment 
Gain excellent customer service skills
Lots of opportunities to grow","Stressful situations with time limits
Angry customers"
McDonald-s,42660, Mcdonalds Crew Member,"Former Employee, less than 1 year","Perth, Western Australia, Western Australia",3,1,2,,2,1,1,v,v,v,Good experience,"everything is systematic, i have also learnt time management skill",there was no proper training and new crew member has to pick up the skills instantly
McDonald-s,42666, Anonymous Employee,"Former Employee, more than 5 years","Perth, Western Australia, Western Australia",4,4,5,,4,4,2,v,o,v,McD,The training at McDoanld's was basic and the skills that theyve taught me have assisted me with future jobs. Applicable to everyday life as well as future employment.,The customers we encountered.
McDonald-s,42808, Kitchen Hand,"Former Employee, more than 1 year","Perth, Western Australia, Western Australia",2,5,1,,2,1,3,x,r,r,Kitchen hand,Free drinks good for first job experience,Hot and stuffy environment only hire young people bad pay
McDonald-s,42831, Crew Member,"Current Employee, more than 1 year","Perth, Western Australia, Western Australia",3,5,2,,2,2,2,x,r,v,Good to balance with study,"flexible hours and holiday leave, good people to work with","little prospect of advancement if they know you will not be making a career of working at mcdonalds, favour giving more hours to younger 'cheaper' staff over older staff who actually need money to pay the expenses of living"
McDonald-s,42956, Customer Service and Crew Member,"Current Employee, less than 1 year","Australia Landing, MS",5,5,5,,5,5,5,v,v,v,service crew,MacDonald is nice an good restaurants for the people and I will enjoy to work her in MacDonald.thank you,MacDonald is so cleanliness and beautiful restaurant of the world
McDonald-s,43162, Crew,"Former Employee, more than 1 year","Perth, Western Australia, Western Australia",4,4,4,,4,4,4,v,v,v,Fun,The people are fun and great to work with,"The pay is not that high and I was 15 back then, they strategically schedule us on night time and on busy times to save money than rostering adults

Some customers bully you"
McDonald-s,43317, Retail,"Current Employee, more than 3 years","Perth, Western Australia, Western Australia",5,5,5,,5,5,5,v,o,v,AMAZING,Great Pay and like a second family. Honestly best first job really easy and thorough training and easy to go up the ranks.,"Not enough hours, customers can be rude to employees over things we cant control or when we have to park them to not sacrifice our results"
McDonald-s,43343, Crew Member,"Current Employee, more than 3 years","Perth, Western Australia, Western Australia",4,3,4,,3,4,3,o,o,o,Good first job,"Great work experience for first-time employees, provides a sense of potential future workplace environments.","Like many restaurants, shifts can become extremely busy and stressful. This may be amplified by openly stressed management, but it's all part of the experience."
McDonald-s,43486, Crew Member,"Current Employee, more than 3 years","Perth, Western Australia, Western Australia",4,3,3,,4,3,3,v,v,v,McDonald’s crew member,"Great environment to work in, lovely staff, challenging job but very rewarding, always a delight creating friendships with customers.","Very busy environment, usually have to work under pressure. Never enough crew on shift. Communication is always lacking especially considering the only form of communication to upstairs is through a head set( in my specific store)"
McDonald-s,43491, McDonalds Crew Trainer,"Former Employee, more than 1 year","Perth, Western Australia, Western Australia",5,5,5,,4,4,5,v,r,v,Great Time,"Nice managers, flexible shifts, similar aged staff, good pay rate",quality is sometimes valued less than speed and efficiency
McDonald-s,43564, Crew Member,"Current Employee, less than 1 year","Perth, Western Australia, Western Australia",4,4,3,,5,3,3,v,v,v,Crew Member,"Meeting new people and friends, friendly staff and nice atmosphere.",Some managers can be not that nice but mostly they are fine and the customers can sometimes be a pain in the butt.
McDonald-s,43580, Restaurant Manager,"Current Employee, more than 5 years","Perth, Western Australia, Western Australia",5,4,5,,5,4,5,v,v,v,Good Place to Work,"The people, the opportunity and the work.",Sometimes can get a bit too crazy.
McDonald-s,43668, Barista,"Current Employee, more than 1 year","Perth, Western Australia, Western Australia",5,3,3,,4,4,4,v,v,v,great money and lots of learning!,Good money and amazing opportunities with customer experience,Very busy and you have to be fast!
McDonald-s,43688, Crew Member,"Current Employee, less than 1 year","Perth, Western Australia, Western Australia",4,3,5,,5,2,,v,r,v,Great working environment and good company culture,"Will depend on the restaurant, but my restaurant is a great place to work.  I was properly trained and have not really had any issues with any of my colleagues.",Experience will vary greatly between restaurants and many people have had issues with incompetent managers etc.
McDonald-s,43689, Shift Manager,"Current Employee, more than 8 years","Perth, Western Australia, Western Australia",3,1,2,,4,3,3,x,o,r,Mcdoanlds,Good people and discounted food,Busy understaffed no praise
McDonald-s,43725, Crew Member,"Current Employee, more than 5 years","Perth, Western Australia, Western Australia",3,5,3,,1,1,2,x,r,r,very flexible work hours for life commitments,Relatively easy to book time off and rearrange shift times,Can be particularly ruthless with work consistency
McDonald-s,43726, Crew Trainer,"Current Employee, more than 8 years","High Wycombe, Western Australia",3,4,4,,3,2,2,x,r,r,Is it worth being a Crew Trainer,"-The people that you work with
-Educating others on the job
-Working in a team environment
-Engaging with customers","-Salary
-Dealing with things as they come
-Sometimes customer abuse"
McDonald-s,43746, Crew Trainer,"Former Employee, more than 3 years","Perth, Western Australia, Western Australia",3,3,4,,3,2,4,x,r,r,Availability and online systems,The flexible hours allow students to work in their available times. The online system is user friendly when it works.,Sometimes managers ignore availability requests and often the system to request times when you are not available do not allow you to log in or use the site.
McDonald-s,43775, Barista,"Former Employee, less than 1 year","Saint Kilda, South Australia, South Australia",2,2,1,,2,2,1,o,o,o,Bad management,"Nice benefits
Good hours 
coworkers were nice","Bad management 
Management had favourites"
McDonald-s,43788, Assistant Restaurant Manager,"Former Employee, more than 8 years","Perth, Western Australia, Western Australia",5,3,5,,4,4,4,v,v,v,McHappy Place to Work,Great Salary + World Class Training + Working like a Family,Just the Shift work even you're in Management
McDonald-s,43802, Front of House Crew,"Former Employee, less than 1 year","Perth, Western Australia, Western Australia",3,4,5,,3,2,5,v,v,v,Inadequate Training,"Nice workers, good people, very friendly and genuine. Work was not stressful, everything had a system.","The training was inadequate and I had to mainly ask other staff howto do things, even they explained to me that there training needs work."
McDonald-s,43814, Cashier,"Former Employee, less than 1 year","Perth, Western Australia, Western Australia",1,1,1,,1,1,1,x,o,x,Don’t work here,None none none none none,"Low pay, rude customers."
McDonald-s,43821, Team Member,"Former Employee, more than 1 year","Perth, Western Australia, Western Australia",4,,,,,,,o,o,o,Pros and Cons of working at Maccas,"Some good things about McDonalds is that it is a registered training organisation meaning their training system is respected Australia wide, making it easier to get other jobs. Another good thing would be the staff benefits, there is a slight discount granted to staff.",Some restaurants have poor working conditions
McDonald-s,43860, Crew Member,"Current Employee, more than 1 year","Perth, Western Australia, Western Australia",5,4,3,,5,4,3,v,r,v,Good to work at,"fun, make a lot of friends",sometimes bad management but mostly good
McDonald-s,43892, Department Manager,"Former Employee, more than 5 years","Perth, Western Australia, Western Australia",3,5,4,,3,2,3,v,o,o,Great job whilst studying,"Availability flexibility, great training and procedures, amazing coworkers turned friends for life","Stressful environment,  did not feel safe working at night and owner refused to implement safety measures such as security or heavy-duty barricades, subpar hourly rate"
